"subj","age","condition","pos","item","response"
3,5,1,"adj","awake_asleep",1
4,5,1,"adj","awake_asleep",1
5,5,1,"adj","awake_asleep",1
6,5,1,"adj","awake_asleep",1
7,4,0,"adj","awake_asleep",1
8,5,0,"adj","awake_asleep",1
9,5,0,"adj","awake_asleep",1
10,4,0,"adj","awake_asleep",0
11,5,0,"adj","awake_asleep",1
12,4,1,"adj","awake_asleep",0
13,5,1,"adj","awake_asleep",1
14,4,1,"adj","awake_asleep",1
15,4,1,"adj","awake_asleep",0
16,4,1,"adj","awake_asleep",1
18,5,0,"adj","awake_asleep",0
20,5,0,"adj","awake_asleep",0
22,4,1,"adj","awake_asleep",0
23,5,1,"adj","awake_asleep",1
24,4,1,"adj","awake_asleep",1
26,4,1,"adj","awake_asleep",1
27,5,0,"adj","awake_asleep",1
28,4,0,"adj","awake_asleep",1
31,5,0,"adj","awake_asleep",0
32,4,1,"adj","awake_asleep",0
33,4,1,"adj","awake_asleep",0
35,4,1,"adj","awake_asleep",1
36,5,1,"adj","awake_asleep",1
37,4,0,"adj","awake_asleep",1
38,4,0,"adj","awake_asleep",0
42,4,1,"adj","awake_asleep",1
43,5,1,"adj","awake_asleep",1
44,4,1,"adj","awake_asleep",0
45,4,1,"adj","awake_asleep",1
46,4,1,"adj","awake_asleep",1
47,4,0,"adj","awake_asleep",0
48,5,0,"adj","awake_asleep",1
49,5,0,"adj","awake_asleep",1
50,4,0,"adj","awake_asleep",0
51,4,0,"adj","awake_asleep",0
52,5,1,"adj","awake_asleep",1
53,5,1,"adj","awake_asleep",1
54,5,1,"adj","awake_asleep",1
55,5,1,"adj","awake_asleep",1
58,4,0,"adj","awake_asleep",1
59,4,0,"adj","awake_asleep",1
60,5,0,"adj","awake_asleep",0
61,4,0,"adj","awake_asleep",1
62,5,0,"adj","awake_asleep",1
63,5,0,"adj","awake_asleep",1
64,4,0,"adj","awake_asleep",1
66,5,0,"adj","awake_asleep",1
67,4,0,"adj","awake_asleep",1
68,5,0,"adj","awake_asleep",0
69,5,0,"adj","awake_asleep",1
70,5,0,"adj","awake_asleep",1
71,5,0,"adj","awake_asleep",0
72,4,0,"adj","awake_asleep",0
73,5,0,"adj","awake_asleep",1
75,5,0,"adj","awake_asleep",1
76,5,0,"adj","awake_asleep",1
77,5,0,"adj","awake_asleep",1
78,4,0,"adj","awake_asleep",1
79,5,0,"adj","awake_asleep",1
80,5,0,"adj","awake_asleep",1
81,5,0,"adj","awake_asleep",1
82,5,1,"adj","awake_asleep",1
83,5,0,"adj","awake_asleep",1
84,5,1,"adj","awake_asleep",1
85,5,1,"adj","awake_asleep",0
86,5,1,"adj","awake_asleep",1
87,5,1,"adj","awake_asleep",1
88,4,1,"adj","awake_asleep",1
89,5,1,"adj","awake_asleep",1
90,4,0,"adj","awake_asleep",0
91,5,0,"adj","awake_asleep",1
92,5,0,"adj","awake_asleep",1
93,5,1,"adj","awake_asleep",1
94,4,0,"adj","awake_asleep",0
96,5,1,"adj","awake_asleep",1
98,4,0,"adj","awake_asleep",1
99,4,1,"adj","awake_asleep",1
100,4,1,"adj","awake_asleep",1
101,5,1,"adj","awake_asleep",1
102,4,0,"adj","awake_asleep",0
103,4,1,"adj","awake_asleep",1
104,4,1,"adj","awake_asleep",1
105,4,1,"adj","awake_asleep",1
106,5,0,"adj","awake_asleep",1
107,4,1,"adj","awake_asleep",1
108,5,0,"adj","awake_asleep",1
109,4,1,"adj","awake_asleep",1
111,5,1,"adj","awake_asleep",0
112,4,1,"adj","awake_asleep",1
113,4,1,"adj","awake_asleep",1
114,5,1,"adj","awake_asleep",1
115,4,0,"adj","awake_asleep",0
116,4,0,"adj","awake_asleep",1
117,4,0,"adj","awake_asleep",0
118,4,0,"adj","awake_asleep",1
119,4,0,"adj","awake_asleep",0
120,4,0,"adj","awake_asleep",1
122,4,1,"adj","awake_asleep",1
123,4,1,"adj","awake_asleep",1
124,4,1,"adj","awake_asleep",0
125,4,1,"adj","awake_asleep",1
1,4,1,"adj","tall_short",1
2,5,1,"adj","tall_short",1
3,5,1,"adj","tall_short",1
4,5,1,"adj","tall_short",1
5,5,1,"adj","tall_short",1
6,5,1,"adj","tall_short",1
7,4,0,"adj","tall_short",1
8,5,0,"adj","tall_short",1
9,5,0,"adj","tall_short",1
10,4,0,"adj","tall_short",1
11,5,0,"adj","tall_short",0
12,4,1,"adj","tall_short",0
13,5,1,"adj","tall_short",1
14,4,1,"adj","tall_short",1
15,4,1,"adj","tall_short",1
16,4,1,"adj","tall_short",1
18,5,0,"adj","tall_short",1
20,5,0,"adj","tall_short",1
22,4,1,"adj","tall_short",1
23,5,1,"adj","tall_short",1
24,4,1,"adj","tall_short",1
26,4,1,"adj","tall_short",0
27,5,0,"adj","tall_short",1
28,4,0,"adj","tall_short",0
31,5,0,"adj","tall_short",1
32,4,1,"adj","tall_short",1
33,4,1,"adj","tall_short",1
35,4,1,"adj","tall_short",1
36,5,1,"adj","tall_short",1
37,4,0,"adj","tall_short",1
38,4,0,"adj","tall_short",1
42,4,1,"adj","tall_short",1
43,5,1,"adj","tall_short",1
44,4,1,"adj","tall_short",0
45,4,1,"adj","tall_short",1
46,4,1,"adj","tall_short",1
47,4,0,"adj","tall_short",0
